Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
inmuebles24.com,http://www.inmuebles24.com/propiedades/oficina-en-venta-col.-chepevera-monterrey-n.-l.-52341153.html,inmuebles24,52341153,2017-06-24 15:19:50.855145,Venta,Oficina,"Oficina
											",,"Oficina en Venta Col. Chepevera, Monterrey, N. L. $4,243,536, Nuevo León - Inmuebles24",,,Monterrey,Chepevera,,,Nuevo León,"
										",,,,,104,104,,http://img10.naventcdn.com/avisos/18/00/52/34/11/53/1200x1200/65405068.jpg,,"MN 4,243,536",,,,,,,,BR MONTERREY,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/espectaculares-oficinas-en-andares-puerta-de-hierro-a-52172419.html,inmuebles24,52172419,2017-08-07 15:20:16.282208,Venta,Oficina,"Oficina
											",,"Espectaculares Oficinas en Andares Puerta de Hierro a La Venta Solo 5 Pisos, Jalisco - Inmuebles24","AVENIDA PATRIA 1891, Puerta de Hierro, Zapopan",,Zapopan,Puerta de Hierro,,,Jalisco,"
										ESPECTACULARES OFICINAS EN LA ZONA COSMOPOLITA DE GUADALAJARA, JALISCO. TENEMOS OFICINAS DESDE 122 M2 PRECIO ESPECIAL PARA PISOS COMPLETOS COMO ESTE QUE ANUNCIO. SOLO SE VENDERÁN 5 PISOS DE OFICINA. ASÍ QUE APÚRATE A GANARLOS Y TENER LA MEJOR INVERSIÓN EN LA CIUDAD. SE DESTAPO HOY A LA VENTA Y YA EMPEZARON LOS APARTADOS!! ENTREGA DICIEMBRE 2017.
									",,,20.707895100000000,-103.410828700000020,394,394,,http://img10.naventcdn.com/avisos/18/00/52/17/24/19/1200x1200/57867177.jpg,,"MN 14,919,018",,,,,,,,IVAN MARTINEZ,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/jardines-en-la-montana-oficina-en-venta-52409709.html,inmuebles24,52409709,2017-08-07 15:20:16.282208,Venta,Oficina,"Oficina
											",,"Jardines en La Montaña, Oficina en Venta, Distrito Federal - Inmuebles24","Colonia Jardines en la Montaña, Jardines en la Montaña, Tlalpan",,Tlalpan,Jardines en la Montaña,,,Distrito Federal,"
										",,,19.303347600000000,-99.200311600000000,177,177,,http://img10.naventcdn.com/avisos/18/00/52/40/97/09/1200x1200/66962330.jpg,,"MN 10,620,000",,,,,,,,Gentry Bienes Raices,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-la-mejor-torre-zona-andares-144-mts-de-52591235.html,inmuebles24,52591235,2017-08-07 15:21:07.101255,Venta,Oficina,"Oficina
											",,"Oficinas en La Mejor Torre Zona Andares 144 m de Altura Lujo Certificado Leed, Jalisco - Inmuebles24","AVENIDA PATRIA 1891, Puerta de Hierro, Zapopan",,Zapopan,Puerta de Hierro,,,Jalisco,"
										ESPECTACULARES OFICINAS EN LA ZONA COSMOPOLITA DE GUADALAJARA, JALISCO. TENEMOS OFICINAS DESDE 122 M2 PRECIO ESPECIAL PARA PISOS COMPLETOS COMO ESTE QUE ANUNCIO. SOLO SE VENDERÁN 5 PISOS DE OFICINA. ASÍ QUE APÚRATE A GANARLOS Y TENER LA MEJOR INVERSIÓN EN LA CIUDAD. ""AUN QUEDAN INMEJORABLES LUGARES"" ENTREGA DICIEMBRE 2017.
									",,,20.707895100000000,-103.410828700000020,247,247,,http://img10.naventcdn.com/avisos/18/00/52/59/12/35/1200x1200/70308570.jpg,,"MN 10,028,000",,,,,,,,IVAN MARTINEZ,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/propiedad-comercial-en-venta-o-renta-blvd.-vildosola-52417307.html,inmuebles24,52417307,2017-06-26 15:21:32.246104,Venta,Oficina,"Oficina
											",,"Propiedad Comercial en Venta o Renta, Blvd. Vildosola Sur, Sonora - Inmuebles24","Blvd. Vildosola # 302 b, Piedra Bola (Pedregal de la Villa), Hermosillo",,Hermosillo,Piedra Bola (Pedregal de la Villa),,,Sonora,"
										Excelente y bien ubicada propiedad comercial en Venta o Renta ($37,000.00). ",,,29.040339483748592,-110.957785084933450,268,"1,447",,http://img10.naventcdn.com/avisos/18/00/52/41/73/07/1200x1200/66998853.jpg,,"MN 10,695,000",,,,,,,,ESPACIOS TERRA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/casa-con-uso-de-suelo-en-venta-echegaray-52120876.html,inmuebles24,52120876,2017-06-26 15:21:32.246104,Alquiler / Venta,Oficina,"Oficina
											",,"Casa con Uso de Suelo en Venta Echegaray, Edo. de México - Inmuebles24","HACIENDA DE ECHAGARAY, Bosque de Echegaray, Naucalpan de Juárez",,Naucalpan de Juárez,Bosque de Echegaray,,,Edo. de México,"
										CASA EN EXCELENTE UBICACIÓN CON USO DE SUELO PARA OFICINAS, PLANTA BAJA CON OFICINA DE DIRECCIÓN CON BAÑO, DESPACHO PRIVADO CON VISTA A TERRAZA, SALA DE JUNTAS CON OFICINA ANEXA, COCINA, RECEPCIÓN, TERRAZA CON FUENTE FUNCIONANDO Y ÁREA ARBOLADA. PLANTA ALTA CON 4 PRIVADOS Y DOS ÁREAS ABIERTA DE TRABAJO, TERRAZA Y 3 BAÑOS. CUARTO DE SERVICIO CON BAÑO EN AZOTEA.
									",,,19.484715700000000,-99.233847900000000,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/52/12/08/76/1200x1200/56476008.jpg,,"MN 6,500,000",,,,,,,,LINEA RECTA BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/neo-nueva-experiencia-en-oficinas-52924213.html,inmuebles24,52924213,2017-06-26 15:21:32.246104,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Neo Nueva Experiencia en Oficinas, Distrito Federal - Inmuebles24","Boulevard Adolfo Lopez Mateos 1817, Merced Gómez, Alvaro Obregón",,Alvaro Obregón,Merced Gómez,,,Distrito Federal,"
										Edificio de 14 pisos de oficinas en preventa, con lo último en arquitectura urbana, estacionamiento robotizado y una ubicación inmejorable. Contáctanos!!! ",,,19.365378900000000,-99.191153999999980,m²,45,,http://img10.naventcdn.com/avisos/18/00/52/92/42/13/1200x1200/78767961.jpg,,"MN 50,000",,,,,,,,VIDARQ,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-renta-en-federico-t-de-la-chica-52835612.html,inmuebles24,52835612,2017-06-26 15:21:32.246104,Venta,Oficina,"Oficina
											",,"Oficinas en Renta en Federico T de La Chica, Edo. de México - Inmuebles24","Federico T de La Chica, Ciudad Satélite, Naucalpan de Juárez",,Naucalpan de Juárez,Ciudad Satélite,,,Edo. de México,"
										Oficinas en renta de 160m2 en edificio corporativo, ubicadas en segundo y tercer nivel, incluyen tres lugares de estacionamiento techado. El edificio cuenta con elevador, baños para hombres y mujeres. Precio de renta $260.00 m2 mantenimiento incluido
									",,,19.513593900000000,-99.231375000000010, Superficie de terreno,Mantenimiento,,http://img10.naventcdn.com/avisos/18/00/52/83/56/12/1200x1200/74199100.jpg,,"MN 41,600",,,,,,,,Monica Hernandez,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/nave-bodega-taller-y-oficinas-en-parque-industrial-50945305.html,inmuebles24,50945305,,Alquiler / Venta,Bodega comercial,"Bodega comercial
											",,"Nave, Bodega, Taller y Oficinas en Parque Industrial, Baja California Sur - Inmuebles24","Colonia Parque Industrial, Parque Industrial, La Paz",,La Paz,Parque Industrial,,,Baja California Sur,"
										",,,24.058524450000000,-110.318344830000000,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/50/94/53/05/1200x1200/62845060.jpg,,"MN 7,271,000",,,,,,,,Global Real Estate (TPI),,,,,,,,,,,,,,,,,,
