Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
inmuebles24.com,http://www.inmuebles24.com/propiedades/residencial-cossio-18-53086552.html,inmuebles24,53086552,,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Residencial Cossio 18, Distrito Federal - Inmuebles24","GONZALEZ DE COSSIO, Del Valle Centro, Benito Juárez",,Benito Juárez,Del Valle Centro,,,Distrito Federal,"
										14 departamentos con acabados de lujo en la mejor zona de la colonia Del Valle , con acceso a las mejores vías de comunicación.
									",,,19.389501152940255,-99.170244638623050,m²,85,,http://img10.naventcdn.com/avisos/18/00/53/08/65/52/1200x1200/78803102.jpg,,"MN 4,249,000",,,,,,,,ALTOBA INMOBILIARIA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/hasta-$100-000-de-descuento-en-enttorno-cuajimalpa.-284557.html,inmuebles24,284557,,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Hasta $100,000 de Descuento en Enttorno Cuajimalpa. Distrito Federal - Inmuebles24","AV. MÉXICO 359, Cuajimalpa, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Cuajimalpa,,,Distrito Federal,"
										Un Enttorno que te hará cambiar... Tu nueva vida a sólo 10 minutos de Santa Fe. ",,,19.366181200000000,-99.299208000000020,m²,65,,http://img10.naventcdn.com/avisos/18/00/00/28/45/57/1200x1200/60060751.jpg,,"MN 2,317,700",,,,,,,,CLASS BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/terrenos-vive-esmeralda-52732621.html,inmuebles24,52732621,,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Terrenos Vive Esmeralda, Edo. de México - Inmuebles24","AVENIDA DR JIMENEZ CANTÚ	S/N, Bosque Esmeralda, Atizapán de Zaragoza",,Atizapán de Zaragoza,Bosque Esmeralda,,,Edo. de México,"
										Mágnificos terrenos de 120 m2 hasta 204 m2 en inmejorable ubicación para que construyas la casa de tus sueños.
									",,,19.548885700000000,-99.288302899999960,m²,120,,http://img10.naventcdn.com/avisos/18/00/52/73/26/21/1200x1200/79891724.jpg,,"MN 2,080,000",,,,,,,,VIVE ESMERALDA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/m.-oca-condesa.-departamentos-en-entrega-inmediata-52047748.html,inmuebles24,52047748,,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"M. Oca Condesa. Departamentos en Entrega Inmediata, Distrito Federal - Inmuebles24","Fernando Montes de Oca 129, Condesa, Cuauhtémoc",,Cuauhtémoc,Condesa,,,Distrito Federal,"
										M.OCA CONDESA ",,,19.415217900000000,-99.179012100000020,m²,102,,http://img10.naventcdn.com/avisos/18/00/52/04/77/48/1200x1200/54942766.jpg,,"MN 5,783,500",,,,,,,,CLASS BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/joy-bosques-52494653.html,inmuebles24,52494653,,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Joy Bosques, Distrito Federal - Inmuebles24","Prolongación Reforma 3115, Lomas de Vista Hermosa, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Lomas de Vista Hermosa,,,Distrito Federal,"
										Joy es un proyecto Inmobiliario diseñado para deleitar cada uno de tus instantes. Disfrutarás amenidades Extra Ordinarias. En la ubicación privilegiada con rápido acceso a los corporativos y zonas residenciales más exclusivas de la ciudad. Rodeado de comercio, entretenimiento, instituciones educativas de alto nivel y áreas recreativas y vistas panorámicas espectaculares.
									",,,19.376293152679832,-99.260849648657200,m²,65,,http://img10.naventcdn.com/avisos/18/00/52/49/46/53/1200x1200/68523404.jpg,,"MN 4,311,983",,,,,,,,Opera Desarrolladora,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/en-venta-sendero-santa-fe-3-rec.-144-m2-3-est-y-bodega-53214710.html,inmuebles24,53214710,2017-08-05 14:55:29.556193,Venta,Departamento,"Departamento
											",,"En Venta Sendero Santa Fe 3 Rec. 144 m² 3 Est y Bodega Iluminado, Distrito Federal - Inmuebles24","CARRETERA FEDERAL MEXICO TOLUCA 5454, Santa Fe Cuajimalpa, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Santa Fe Cuajimalpa,,,Distrito Federal,"
										DEPARTAMENTO DE LUJO RENTO A 3 MIN DE SANTA FE, ILUMINADO 3 REC 2.5 BAÑOS 3 LUGARES DE ESTACIONAMIENTO Y BODEGA AMPLIO ",,,19.362645400000000,-99.282707599999980,144,144,,http://img10.naventcdn.com/avisos/18/00/53/21/47/10/1200x1200/80092821.jpg,,"MN 6,100,000",,,,,,,,UBIHABIT,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/lote-en-venta-con-vista-a-lago-lagos-de-sol-53200329.html,inmuebles24,53200329,2017-08-02 14:55:54.408015,Venta,Terreno / Lote,"Terreno / Lote
											",,"Lote en Venta con Vista a Lago - Lagos de Sol, Provincia de Quintana Roo - Inmuebles24",,,Cancún,Lagos del Sol,,,Quintana Roo,"
										Tamaño 780.18 m2 ",,,,,1,780,,http://img10.naventcdn.com/avisos/18/00/53/20/03/29/1200x1200/79903956.jpg,,"MN 4,290,990",,,,,,,,MARTHA PEREZ REALTY,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/-en-venta-terreno-amplio-con-hermosa-casa-de-playa!-en-53032254.html,inmuebles24,53032254,2017-08-02 14:55:54.408015,Venta,Terreno / Lote,"Terreno / Lote
											",,"¡En Venta Terreno Amplio con Hermosa Casa de Playa! en Telchac Puerto, Yucatán - Inmuebles24","TELCHAC PUERTO, Pueblo Telchac Puerto, Telchac Puerto",,Telchac Puerto,Pueblo Telchac Puerto,,,Yucatán,"
										Se vende terreno amplio con Hermosa Casa de Playa, en una de las playas más bellas de la costa yucateca, ideal para desarrollo de departamentos o búngalos. ",,,21.341900200000000,-89.263604499999990,200,"2,080",,http://img10.naventcdn.com/avisos/18/00/53/03/22/54/1200x1200/77808144.jpg,,"MN 7,000,000",,,,,,,,CAMARA RUZ BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/vendo-casa-en-lomas-de-las-aguilas-53064746.html,inmuebles24,53064746,2017-07-20 14:56:44.086075,Venta,Casa,"Casa
											",,"Vendo Casa en Lomas de Las Aguilas, Distrito Federal - Inmuebles24","Picagregos, Lomas de las Aguilas, Alvaro Obregón",,Alvaro Obregón,Lomas de las Aguilas,,,Distrito Federal,"
										Vendo linda y acogedora casa de 3 niveles en lomas de las águilas dentro de privada con control de acceso y vigilancia las 24hrs. cuenta con 303m2 de construcción 60m2 de jardín recibidor, baño de visitas, sala de t.v., amplisima sala comedor con maravillosa vista hacia la cdmx, cocina integral con family room, cuarto de servicio con baño, área de lavado y tendido, 4 recamaras 2 con baño y vestidor, 4 1/2 baños totales, gym, bodega, chimenea, calefacción, 2 estacionamientos con opción a 3, portón eléctrico.
									",,,19.347301200000000,-99.235906800000010,303,303,,http://img10.naventcdn.com/avisos/18/00/53/06/47/46/1200x1200/78338986.jpg,,"MN 6,480,000",,,,,,,,Ventas,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/nuevo-townhouse-a-una-calle-de-altabrisa-52630125.html,inmuebles24,52630125,2017-07-14 14:57:09.096974,Venta,Casa,"Casa
											",,"Nuevo Townhouse a Una Calle de Altabrisa, Yucatán - Inmuebles24","Colonia Maya, Maya, Mérida",,Mérida,Maya,,,Yucatán,"
										",,,21.018296500000000,-89.579241400000000,157,95,,http://img10.naventcdn.com/avisos/18/00/52/63/01/25/1200x1200/70978476.jpg,,"MN 1,450,000",,,,,,,,TIPI BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/terreno-frente-al-centro-comercial-en-cuautitlan-51281187.html,inmuebles24,51281187,2017-07-14 14:57:09.096974,Alquiler / Venta,Terreno / Lote,"Terreno / Lote
											",,"Terreno Frente Al Centro Comercial en Cuautitlan, Edo. de México - Inmuebles24","Blvd.Francisco I MAdero, Joyas, Cuautitlán Izcalli",,Cuautitlán Izcalli,Joyas,,,Edo. de México,"
										Excelente Terreno frente al centro comercial Plaza la Joya calles completamente comerciales y con afluencia elevada de gente. ",,,19.672590741930318,-99.164371374102760,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/51/28/11/87/1200x1200/43883188.jpg,,"MN 5,500",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/oficinas-en-renta-lomas-de-chapultepec-palmas-52997798.html,inmuebles24,52997798,2017-07-14 14:57:09.096974,Alquiler / Venta,Oficina,"Oficina
											",,"Oficinas en Renta Lomas de Chapultepec - Palmas, Distrito Federal - Inmuebles24","PASEO DE LAS PALMAS, Lomas de Chapultepec, Miguel Hidalgo",,Miguel Hidalgo,Lomas de Chapultepec,,,Distrito Federal,"
										Casa con uso de suelo para oficinas ubicada en esquina, de estilo clásico con amplio jardín en perfecto estado de conservación, enrejado perimetral de acero forjado al igual que la puerta de acceso principal. Estacionamiento con portón eléctrico para 8 vehículos. Amplio lobby a doble altura con ventanales, varios privados en planta baja con baños para hombres y mujeres, almacén, cocina y comedor para empleados. En planta alta varias oficinas, sala de juntas, baños en privados y baños generales. Buenos acabados en todas las áreas de la casa tanto en pisos, muros, carpintería, etc. Construcción anexa intercomunicada con la casa principal con varios privados, baños y almacén. Instalación eléctrica funcionando.
									",,,19.428544802464080,-99.216679744921860,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/52/99/77/98/1200x1200/76779564.jpg,,"U$D 10,000,000",,,,,,,,LINEA RECTA BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-sierra-gorda-lomas-de-chapultepec-53026624.html,inmuebles24,53026624,2017-07-13 14:58:52.512666,Venta,Departamento,"Departamento
											",,"Departamento en Sierra Gorda, Lomas de Chapultepec, Distrito Federal - Inmuebles24","Sierra Gorda 38, Lomas de Chapultepec, Miguel Hidalgo",,Miguel Hidalgo,Lomas de Chapultepec,,,Distrito Federal,"
										Acogedor departamento ubicado en una de las mejores zonas de la Ciudad de México. Amplitud, iluminación y calidez son algunas de las cosas que encontrarás en este departamento. Distribuido en 135 m2 habitables cuenta con; 3 recámaras, 2 baños completos, cocina integral cerrada con cuarto de lavado integrado, sala-comedor con balcón de 6m2. El edificio ofrece seguridad, portero y CCTV.
									",,,19.426683100000000,-99.222430900000000,135,141,,http://img10.naventcdn.com/avisos/18/00/53/02/66/24/1200x1200/77619889.jpg,,"MN 7,950,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-excelente-ubicacion-a-unas-cuadras-de-53008930.html,inmuebles24,53008930,2017-08-05 14:59:17.591945,Venta,Departamento,"Departamento
											",,"Departamento en Excelente Ubicación a Unas Cuadras de La Gran Plaza, Provincia de Quintana Roo - Inmuebles24","Gran plaza, Cancún Centro, Cancún",,Cancún,Cancún Centro,,,Quintana Roo,"
										Seguridad privada las 24hrs, circuito cerrado y acceso controlado. ",,,21.139927000000000,-86.853593899999960,82,82,,http://img10.naventcdn.com/avisos/18/00/53/00/89/30/1200x1200/76974696.jpg,,"MN 1,190,000",,,,,,,,Gold Clávis ,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/elegante-residencia-en-san-angel-52873987.html,inmuebles24,52873987,2017-07-21 14:59:42.341802,Venta,Casa,"Casa
											",,"Elegante Residencia en San Angel, Distrito Federal - Inmuebles24","Jardín, Tlacopac, Alvaro Obregón",,Alvaro Obregón,Tlacopac,,,Distrito Federal,"
										Elegante Residencia en una de las zonas más exclusivas de la CDMX, estilo conservador con finos acabados en madera, vestíbulo amplio, sala a doble altura, cocina integral, antecomedor con bonita vista a uno de los jardines, biblioteca, jardín de 800 m2 con alberca, terraza, 9 estacionamientos. Tiene entrada para el cuarto del chofer y un departamento muy amplio e independiente de la casa.
									",,,19.353938000000000,-99.198165700000000,981,"1,287",,http://img10.naventcdn.com/avisos/18/00/52/87/39/87/1200x1200/74821034.jpg,,"MN 45,000,000",,,,,,,,Coldwell Banker CONFIANCE,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/bonita-casa-en-exclusiva-privada-en-venta-en-pachuca-53024979.html,inmuebles24,53024979,2017-07-13 15:00:07.532551,Venta,Casa,"Casa
											",,"Bonita Casa en Exclusiva Privada en Venta en Pachuca, Calzada Cuesco, Provincia de Hidalgo - Inmuebles24","Calzada Cuesco No. , Ex Hacienda de Coscotitlan, Cuesco, Pachuca",,Pachuca,Cuesco,,,Hidalgo,"
										Se Aceptan Todos los Créditos ",,,20.111172400000000,-98.750500800000000,426,780,,http://img10.naventcdn.com/avisos/18/00/53/02/49/79/1200x1200/77587560.jpg,,"MN 5,500,000",,,,,,,,Patricia de Butron,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-ph-en-venta-en-la-colonia-condesa-52199399.html,inmuebles24,52199399,2017-07-18 15:00:32.275266,Venta,Departamento,"Departamento
											",,"Departamento PH en Venta en La Colonia Condesa, Distrito Federal - Inmuebles24","Zamora 43, Condesa, Cuauhtémoc",,Cuauhtémoc,Condesa,,,Distrito Federal,"
										Magnífico PH tipo loft, ubicado en el mejor lugar del barrio, cerca de todo y lejos del ruido en un típico edificio contemporáneo de La Condesa. ",,,19.418149700000000,-99.177336200000010,170,217,,http://img10.naventcdn.com/avisos/18/00/52/19/93/99/1200x1200/58816848.jpg,,"MN 8,180,000",,,,,,,,Jorge Rodríguez,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/casa-residencial-en-venta-de-3-recamaras-con-alberca-y-52415845.html,inmuebles24,52415845,2017-07-13 15:00:07.532551,Venta,Casa,"Casa
											",,"Casa Residencial en Venta de 3 Recamaras con Alberca y Palapa 115 m, Provincia de Morelos - Inmuebles24","xochitepec, Colinas de Santa Fe, Xochitepec",,Xochitepec,Colinas de Santa Fe,,,Morelos,"
										Si deseas comprar una casa para descansar los fines de semana con un clima cálido y alberca, ven a conocer esta casa ubicada en la zona sur del estado a 15 minutos de Cuernavaca. Esta propuesta de vivienda tiene 114 m2 de construcción, estancia, cocina integral, 3 recamaras, 3 baños, patio de servicio y espacio para ampliar a una tercera habitación..se entrega con piso cerámico, ecotecnologías y cocina integral, ademas de contar con albercas, juegos infantiles, canchas deportivas de tenis, basquetbol, y futbol, gimnasio al aire libre y servicios públicos dentro del fraccionamiento. ",,,18.842868200000000,-99.242286900000010,114,75,,http://img10.naventcdn.com/avisos/18/00/52/41/58/45/1200x1200/75583116.jpg,,"MN 1,060,000",,,,,,,,Tu Casa con Alberca,,,,,,,,,,,,,,,,,,
