listening_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/terrenos-en-venta-pagina-50.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/terreno-en-venta-la-herradura-1-137.38-mts-$9-326-516-52010376.html,inmuebles24,52010376,2017-07-07,Venta,Terreno / Lote,"Terreno / Lote
											",,"Terreno en Venta La Herradura 1,137.38 m $9,326,516, Nuevo León - Inmuebles24",,,Monterrey,,,,Nuevo León,"
										",,,,,Antigüedad: A estrenar,"1,137",,http://img10.naventcdn.com/avisos/18/00/52/01/03/76/1200x1200/62885486.jpg,,"MN 9,326,516",,,,,,,,BR MONTERREY,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta-pagina-50.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/atencion-inversionistas-terreno-en-venta-50984366.html,inmuebles24,50984366,2017-06-27,Venta,Terreno / Lote,"Terreno / Lote
											",,"Atencion Inversionistas Terreno en Venta, Provincia de Quintana Roo - Inmuebles24",,,Cancún,Puerto Morelos,,,Quintana Roo,"
										El Terreno es una inversión totalmente efectiva para iniciar un gran proyecto, contando con: ",,,,,"1,600","1,600",,http://img10.naventcdn.com/avisos/18/00/50/98/43/66/1200x1200/37815585.jpg,,"U$D 3,000,000",,,,,,,,Leticia Rivera,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta-pagina-50.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/terreno-en-residencial-isla-dorada-51023568.html,inmuebles24,51023568,2017-07-31,Venta,Terreno / Lote,"Terreno / Lote
											",,"Terreno en Residencial Isla Dorada, Provincia de Quintana Roo - Inmuebles24","Isla Dorada, Cancún",,Cancún,,,,Quintana Roo,"
										",,,21.113218380000000,-86.767132940000000,635,635,,http://img10.naventcdn.com/avisos/18/00/51/02/35/68/1200x1200/62818560.jpg,,"U$D 250,000",,,,,,,,EPROPERTIES VIP REAL ESTATE,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta-pagina-50.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/terreno-de-1500-m-de-20x75-sobre-av-lomas-verdes-en-53188058.html,inmuebles24,53188058,2017-07-31,Alquiler / Venta,Terreno / Lote,"Terreno / Lote
											",,"Terreno de 1500 m de 20x75 Sobre Av Lomas Verdes en Banderilla por Cbtis, Provincia de Veracruz - Inmuebles24","Lomas Verdes, Rancho Viejo, Banderilla",,Banderilla,Rancho Viejo,,,Veracruz,"
										Vendemos este hermoso terreno rodeado de potrero y vista campestre, escriturado de gran plusvalía sobre Avenida Lomas Verdes del Municipio de banderilla a 10 minutos de Xalapa y entrando por el CBTIS 134 ",,,19.586414400000000,-96.929109100000000,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/53/18/80/58/1200x1200/79758283.jpg,,"MN 5,250,000",,,,,,,,MARSAN BIENES RAICES,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta-pagina-50.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/casa-que-se-vende-como-terreno.-santa-apolonia.-azco.-52936034.html,inmuebles24,52936034,2017-06-20,Venta,Terreno / Lote,"Terreno / Lote
											",,"Casa Que Se Vende Como Terreno. Santa Apolonia. Azco. Sta Cruz Acayucan, Distrito Federal - Inmuebles24","Privada Xalpa No., Santa Cruz Acayucan, Azcapotzalco",,Azcapotzalco,Santa Cruz Acayucan,,,Distrito Federal,"
										Casa que se vende como terreno, 84 mts2 Terreno, Cuenta con Agua y Drenaje. por estar en privada no hay lugar para guardar carro.
									",,,19.474201400000000,-99.192866400000010,84,84,,http://img10.naventcdn.com/avisos/18/00/52/93/60/34/1200x1200/78577751.jpg,,"MN 950,000",,,,,,,,Francisco Diaz V.,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta-pagina-28.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/parque-industrial-benito-juarez.-atencion-51838846.html,inmuebles24,51838846,2017-07-10,Venta,Nave industrial,"Nave industrial
											",,Parque Industrial Benito Juárez. Atención Inversionistas. Provincia de Querétaro - Inmuebles24,,,Querétaro,Benito Juárez,,,Querétaro,"
										La propiedad cuenta con: Caseta de vigilancia. Área de oficinas: 7 oficinas, dos con baño propio, sala de juntas, 2 baños para personal de oficina. Nave industrial de 6,542 m2 con oficina y baño. Bodegas traseras para residuos. Bodega industrial (edificio de concreto) de 1,429 m2 con tres oficinas y baño. Área de carga / descarga. Área de almacén. Estacionamiento techado para 16 vehículos. EXCELENTE UBICACIÓN.
									",,,,,"9,351","15,000",,http://img10.naventcdn.com/avisos/18/00/51/83/88/46/1200x1200/51624531.jpg,,"U$D 6,000,000",,,,,,,,Landin Bienes Raices,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta-pagina-28.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/nave-industrial-en-venta-sobre-carretera-a-ixtapa-av-51360423.html,inmuebles24,51360423,2017-08-10,Venta,Nave industrial,"Nave industrial
											",,"Nave Industrial en Venta, Sobre Carretera a Ixtapa Av Principal Ideal Para Negocio, Excelente, Jalisco - Inmuebles24","Colonia De las Juntas Delegación, De las Juntas Delegación, Puerto Vallarta",,Puerto Vallarta,De las Juntas Delegación,,,Jalisco,"
										",,,20.701463600000000,-105.233804000000000,"3,000","6,070",,http://img10.naventcdn.com/avisos/18/00/51/36/04/23/1200x1200/66503314.jpg,,"MN 29,900,000",,,,,,,,Diana Maria,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta-pagina-28.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/bodega-cerca-de-periferico-sobre-av-en-leandro-valle-51431205.html,inmuebles24,51431205,2017-07-15,Alquiler / Venta,Bodega comercial,"Bodega comercial
											",,"Bodega Cerca de Periférico, Sobre Av en Leandro Valle, Yucatán - Inmuebles24",,,Mérida,Leandro Valle,,,Yucatán,"
										",,,,,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/51/43/12/05/1200x1200/62762165.jpg,,"MN 24,000,000",,,,,,,,BIENES RAICES YUCATAN,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta-pagina-28.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/santiago-tultepec-bodega-nave-venta-hidalgo-53100374.html,inmuebles24,53100374,2017-07-27,Venta,Bodega comercial,"Bodega comercial
											",,"Santiago Tultepec, Bodega/nave, Venta, Hidalgo, Provincia de Hidalgo - Inmuebles24",,,Santiago Tulantepec de Lugo Guerrero,Santiago Tulaltepc Centro,,,Hidalgo,"
										",,,,,300,477,,http://img10.naventcdn.com/avisos/18/00/53/10/03/74/1200x1200/78999332.jpg,,"MN 600,000",,,,,,,,"BIENES RAICES HAHN Y ASOCIADOS, S.A. DE C.V.",,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta-pagina-28.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/nave-en-venta-en-bboulev-cuamanco-53176416.html,inmuebles24,53176416,2017-08-01,Venta,Nave industrial,"Nave industrial
											",,"Nave en Venta en Bboulev Cuamanco, Provincia de Tlaxcala - Inmuebles24",,,Huamantla,,,,Tlaxcala,"
										Nave en venta en Bboulev cuamanco. 330m2 terreno, 112m2 construcción. Nocnok ID: MX17-DD1407.",,,,,112,330,,http://img10.naventcdn.com/avisos/18/00/53/17/64/16/1200x1200/79675272.jpg,,"MN 1,500,000",,,,,,,,Araceli Torres ,,,,,,,,,,,,,,,,,,
