Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
inmuebles24.com,http://www.inmuebles24.com/propiedades/icon-condesa-gdc-desarrollos-51736974.html,inmuebles24,Noviembre 2018,,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Icon Condesa - Gdc Desarrollos, Distrito Federal - Inmuebles24","Diagonal Patriotismo 87, Condesa, Cuauhtémoc",,Cuauhtémoc,Condesa,,,Distrito Federal,"
										Icon Condesa llega como la única torre exclusiva de departamentos para gente que aprecia el diseño contemporáneo y de vanguardia. ,Posicionándose como el Icono de la colonia Condesa. ,¡Se el primero en vivir esta Única experiencia!
									",,,19.406304500000000,-99.178243399999990,m²,81,,,,"MN 6,136,628",,,,,,,,GDC DESARROLLOS,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/terreno-frente-al-centro-comercial-en-cuautitlan-51281187.html,inmuebles24, 51281187,,Alquiler / Venta,Terreno / Lote,"Terreno / Lote
											",,"Terreno Frente Al Centro Comercial en Cuautitlan, Edo. de México - Inmuebles24","Blvd.Francisco I MAdero, Joyas, Cuautitlán Izcalli",,Cuautitlán Izcalli,Joyas,,,Edo. de México,"
										Excelente Terreno frente al centro comercial Plaza la Joya calles completamente comerciales y con afluencia elevada de gente. ,Uso de Suelo Mixto. ,Área Rentable: 19,000 m2
									",,,19.672590741930318,-99.164371374102760,m²,"
												",,,,"MN 5,500",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/local-comercial-en-san-carlos-sonora-51528769.html,inmuebles24, 23IE5J,,Alquiler / Venta,Local Comercial,"Local Comercial
											",,"Local Comercial en San Carlos, Sonora, Sonora - Inmuebles24","Lvd.Manlio Fabio, Bahía, Guaymas",,Guaymas,Bahía,,,Sonora,"
										Local de 2 niveles, ubicado a poca distancia de la marina de San Carlos con mucha influencia comercial. ,Cerca del inmueble se encuentra el Club de Golf San Carlos y Centro Comercial Ley Express. ,Zona Comercial. ,Área Rentable: 1,211 m2
									",,,27.959011000000000,-111.038037700000020,m²,"
												",,,,"MN 6,500,000",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/garden-house-en-bosque-de-canelos-bosques-de-las-52954197.html,inmuebles24, 52954197,2017-07-25 12:38:04.877906,Venta,Departamento,"Departamento
											",,"Garden House en Bosque de Canelos, Bosques de Las Lomas, Distrito Federal - Inmuebles24","Bosque de Canelos 101, Bosques de las Lomas, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Bosques de las Lomas,,,Distrito Federal,"
										Departamento con amplios espacios y excelente iluminación natural, ubicado en una de las calles más tranquilas de Bosques. Localizado estratégicamente a 10 minutos de Santa Fe, 15 minutos de Interlomas y 20 minutos al corazón de Polanco. Distribuido en 310 m2, consta de 3 habitaciones todas con baño y vestidor, amplia sala y comedor con vista a la terraza. Cocina totalmente equipada con barra de granito y ante comedor. Sala de TV con equipo de sonido y proyector empotrado, área de lavado con cuarto de servicio amplio y con baño completo. 3 cajones de estacionamiento fijos e independientes y bodega. El edificio ofrece seguridad 24/7, alberca, gimnasio, cancha de tenis, jardín, salón de usos múltiples y vapor. Sólo 19 departamentos en el edificio.
									",,,19.387028200000000,-99.258660500000020,310,340,,,,"MN 12,300,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamentos-pre-venta-bosque-real-avivia-52396227.html,inmuebles24, 52396227,2017-07-17 12:38:29.677983,Venta,Departamento,"Departamento
											",,"Departamentos Pre Venta Bosque Real Avivia, Edo. de México - Inmuebles24",,,Huixquilucan,Bosque Real,,,Edo. de México,"
										Espacio perfectamente distribuido para aquellos que gustan de un espacio al aire libre cuenta con una terraza de 16 metros ideal para disfrutar de una tarde tranquila y relajación con una vista inigualable ,Departamento de 185 m2 mas 16 m2 de terraza con increíble vista al campo de Golf, cuenta con tres recamaras con tres recamaras con una increíble vista a las montañas, la recámara principal tiene Walk in closet y las recámaras secundarias closet. ,Este es el lugar perfecto para personas que gustan de espacios con luz natural ,La amplia cocina cuenta con una vista excepcional al campo de golf. ,Cuenta con dos lugares de estacionamiento. ,Área y cuarto de servicio,así como una Bodega ,Amueblados No
									",,,,,201,201,,,,"MN 7,926,900",,,,,,,,VIDARQ,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamentos-en-venta-y-preventa-cancun-53095905.html,inmuebles24, 53095905,2017-07-17 12:38:29.677983,Venta,Departamento,"Departamento
											",,"Departamentos en Venta y Preventa Cancún, Provincia de Quintana Roo - Inmuebles24",,,Cancún,Doctores II,,,Quintana Roo,"
										,Departamentos ubicados a 700 metros de la Colosio, a 10 minutos del Aeropuerto Internacional de Cancún. ,El proyecto consta de 5 torres, en 2 de ellas hay departamentos de 3 recámaras y en las otras de 2 recámaras. Todas cuentan con Penthouse de 2 niveles. ,Cuentan con: alberca, chapoteadero, juegos infantiles, zona de jacuzzi, palapa principal y secundara, asador cocineta, baño en areas comunes, 2 cajones de estacionamiento por departamento, caseta de vigilancia, barda perimetral electrificada. Excelentes acabados, en una zona tranquila y cerca de la naturaleza. Precios desde $1404,500.00 pesos,
									",,,,,106,106,,,,"MN 1,404,500",,,,,,,,MR. HOUSE REAL ESTATE,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-venta-en-calle-xola-col-del-valle-52661638.html,inmuebles24, 52661638,2017-08-03 12:39:21.163614,Venta,Departamento,"Departamento
											",,"Departamento en Venta en Calle Xola Col del Valle, Distrito Federal - Inmuebles24","XOLA, Del Valle Centro, Benito Juárez",,Benito Juárez,Del Valle Centro,,,Distrito Federal,"
										Departamento en Venta en Excelentes Condiciones Cuenta con 148 m2, 3 Recamaras, 2 Baños y 2 Estacionamientos
									",,,19.396363300000000,-99.161803299999970,148,148,,,,"MN 4,150,000",,,,,,,,Coldwell Banker Invest (Asociada con ID 15246)7,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/venta-de-departamento-penthouse-moderno-col.-53203820.html,inmuebles24, 53203820,2017-08-03 12:39:46.367316,Venta,Departamento,"Departamento
											",,"Venta de Departamento Penthouse Moderno, Col. Electricistas Azcapotzalco, Distrito Federal - Inmuebles24","Norte 79B No. 205, Sindicato Mexicano de Electricistas, Azcapotzalco",,Azcapotzalco,Sindicato Mexicano de Electricistas,,,Distrito Federal,"
										Único en su diseño arquitectónico, propio para personas que disfrutan de conceptos exclusivos. Edificio con solo 4 departamentos. Inmejorable ubicación, a unas cuadras de las Avenidas Cuitláhuac, Granjas y Camarones, Colonias vecinas: Nueva Santa María, Clavería. Centros comerciales, la Arena Mexico, y zonas en gran desarrollo. El Penthouse consta de: una recamara master con su baño, recamara Jr. y estudio con la opción a la tercer recamara con un baño que comparten, 1/2 baño de visitas, estancia tipo loft con su cocina y terraza, área de lavado. Sky Garden en área común con baños para hombre y mujeres. Un lugar de estacionamiento techado con accesibilidad libre para entrar y salir. Una bodega de 2x 2 mts. El edificio cuenta con dos cisternas una de agua pluvial y otra de agua potable, gas natural. Caseta de vigilancia. Se vende con o sin muebles. Hablé con gusto la mostrsmos
									",,,19.474964300000000,-99.175818699999980,108,108,,,,"MN 3,288,000",,,,,,,,SILVIA  OLIVARES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/espectacular-residencia-en-venta-en-bosques-de-las-52316456.html,inmuebles24, 52316456,2017-06-27 12:40:11.196380,Venta,Casa,"Casa
											",,"Espectacular Residencia en Venta en Bosques de Las Lomas, Distrito Federal - Inmuebles24",,,Cuajimalpa de Morelos,Bosques de las Lomas,,,Distrito Federal,"
										,Residencia de REVISTA estilo moderno minimalista en VENTA en Bosques de las Lomas. ,Terminada en 2013 con casi 1,000 m2 de terreno y 720 de construcción. Ventanas abatibles de piso a techo en areas publicas,,4 recamaras con baños y walking closets, sala , comedor con teppan , amplia y modernisima cocina, oficina, dos family rooms, amplio jardin, terrazas, bodegas y alacenas al por mayor , cava, garage para 6 autos, calefaccion hidronica por areas inclusive en las terrazas y areas ""al fresco"" chimenea ecologica, cuarto de servcio y amplia lavanderia, Diseño de clase mundial. ,
									",,,,,720,985,,,,"MN 60,000,000",,,,,,,,Grupo Bosques Bienes Raíces,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/isla-en-centro-comercial.-gran-ubicacion.-acabados-de-53220672.html,inmuebles24, 53220672,2017-08-07 12:40:36.045511,Venta,Local en centro comercial,"Local en centro comercial
											",,"Isla en Centro Comercial. Gran Ubicación. Acabados de Primera!, Distrito Federal - Inmuebles24",,,Cuajimalpa de Morelos,Santa Fe Cuajimalpa,,,Distrito Federal,"
										Increíble Isla en Centro Comercial en Santa Fe. Mide 2.86 M por lado. Altura de 2.8 M. Cuenta son todos los servicios. Las barras sientan a 16 personas. Ubicación premium ya que esta en la entrada al Teatro y con muy buena vista desde todos los ángulos.
									",,,,,12,24,,,,"MN 175,000",,,,,,,,Juan Jose,,,,,,,,,,,,,,,,,,
