listening_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/las-flores-639-51323539.html,inmuebles24,51323539,2017-07-24,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Las Flores 639, Distrito Federal - Inmuebles24","Av. De Las Flores # 639, en la colonia Flor de María, Flor de Maria, Alvaro Obregón",,Alvaro Obregón,Flor de Maria,,,Distrito Federal,"
										El desarrollo ""Las Flores 639"", está ubicado en Avenida Las Flores mismo número, colonia Flor de María, Delegación Alvaro Obregón. ",,,19.347858100000000,-99.207648100000030,m²,290,,http://img10.naventcdn.com/avisos/18/00/51/32/35/39/1200x1200/57192242.jpg,,"MN 9,479,099",,,,,,,,LOMELIN 1,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/excelente-local-en-nuevo-leon-en-esquina-52153500.html,inmuebles24,52153500,2017-07-20,Alquiler / Venta,Local Comercial,"Local Comercial
											",,"Excelente Local en Nuevo Léon (En Esquina), Nuevo León - Inmuebles24","Carretera a Reynosa, 29 de Julio, Guadalupe",,Guadalupe,29 de Julio,,,Nuevo León,"
										Local comercial con excelente ubicación en esquina con la calle Iturbide, en una de las carreteras principales de Nuevo León. ",,,25.657461800000000,-100.135875199999990,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/52/15/35/00/1200x1200/73889890.jpg,,"MN 8,000,000",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/excelente-terreno-en-mexicali-52590868.html,inmuebles24,52590868,2017-06-26,Alquiler / Venta,Terreno comercial,"Terreno comercial
											",,"Excelente Terreno en Mexicali, Baja California Norte - Inmuebles24","Calzada Manuel Gomez Morín 779, Desarrollo Urbano Ex Ejido Orizaba, Mexicali",,Mexicali,Desarrollo Urbano Ex Ejido Orizaba,,,Baja California Norte,"
										Terreno frente al centro comercial Plaza del Sol, calles completamente comerciales y con afluencia elevada de gente. ",,,32.648796000000000,-115.533311200000010,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/52/59/08/68/1200x1200/70304191.jpg,,"MN 10,000",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/bellisima-casa-en-san-angel-52940202.html,inmuebles24,52940202,2017-06-21,Venta,Casa en condominio,"Casa en condominio
											",,"Bellisima Casa en San Angel, Distrito Federal - Inmuebles24","San Angel Inn, San Angel Inn, Alvaro Obregón",,Alvaro Obregón,San Angel Inn,,,Distrito Federal,"
										BELLISIMA CASA EN SAN ANGEL, MUY ILUMINADA, EN EXCLUSIVA PRIVADA DE SOLO 4 CASAS, 3 RECAMARAS MUY AMPLIAS Y PERFECTAMENTE DISEÑADAS CON GRAN VESTIDOR CADA UNA DE ELLAS, UNA CON SU PROPIA TERRAZA, COCINA DE GRAN TAMAÑO , ESTANCIA, COMEDOR, DESAYUNADOR, FAMILY ROOM, MUY COMODA. ESPACIOS QUE ENAMORAN, JARDIN INTERIOR, EXCELENTES ACABADOS,.4 BAÑOS, CTO. DE SERVICIO, CTO DE LAVADO, TENDRIA QUE CONOCERLA.. CON DOBLE SEGURIDAD EN CERRADA FRENTE AL RESTAURANTE SAN ANGEL IN, ADEMAS EN LA MISMA PRIVADA VIGILANCIA LAS 24 HORAS. TRES LUGARES DE ESTACIONAMIENTO. ",,,19.350500000000000,-99.197344400000020,360,376,,http://img10.naventcdn.com/avisos/18/00/52/94/02/02/1200x1200/75777648.jpg,,"MN 25,000,000",,,,,,,,Habitat Soluciones Inmobiliarias,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/en-venta-hermosa-casa-estilo-hacienda-en-merida-52137429.html,inmuebles24,52137429,2017-07-15,Venta,Casa en condominio,"Casa en condominio
											",,"En Venta Hermosa Casa Estilo Hacienda en Merida Yucatan en Privada, Yucatán - Inmuebles24","Colonia Club de Golf La Ceiba, Club de Golf La Ceiba, Mérida",,Mérida,Club de Golf La Ceiba,,,Yucatán,"
										",,,20.967370200000000,-89.592585700000000,780,"4,283",,http://img10.naventcdn.com/avisos/18/00/52/13/74/29/1200x1200/62776021.jpg,,"U$D 1,000,000",,,,,,,,TIPI BIENES RAICES,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/hermosa-casa-nueva-en-fraccionamiento-maguey-zibata.-52039078.html,inmuebles24,52039078,2017-08-09,Venta,Casa en condominio,"Casa en condominio
											",,"Hermosa Casa Nueva en Fraccionamiento Maguey, Zibata. Trato Directo!, Provincia de Querétaro - Inmuebles24","condominio maguey, Fraccionamiento Zibatá, El Marqués",,El Marqués,Fraccionamiento Zibatá,,,Querétaro,"
										FRACCIONAMIENTO CERRADO CON VIGILANCIA 24 HORAS Y AREAS COMUNES. ",,,20.678492996043500,-100.323904991201800,435,340,,http://img10.naventcdn.com/avisos/18/00/52/03/90/78/1200x1200/54811460.jpg,,"MN 6,600,000",,,,,,,,De la torre 13,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/casa-de-revista-en-los-patios-1048372.html,inmuebles24,1048372,2017-08-03,Venta,Casa en condominio,"Casa en condominio
											",,"Casa de Revista en Los Patios, Distrito Federal - Inmuebles24","Prolongacion Abasolo, Fuentes de Tepepan, Tlalpan",,Tlalpan,Fuentes de Tepepan,,,Distrito Federal,"
										En condominio ALTAMENTE ATRACTIVO, con espacios que permiten disfrutar de un entorno natural, combinando la armonía de la naturaleza y la ARQUITECTURA MODERNA. La casa esta desarrollada en dos niveles, con detalles decorativos en cada espacio, finos acabados, con ventanales de techo a piso en sala y comedor, plafones con luz indirecta y vista a agradable jardín decorado, escaleras de madera con vidrio templado, 3 Recámaras, cada una con baño completo, sala de TV con agradable terraza, Cocina equipada con barra y bella vista, Roof Garden listo para decorarlo. Cuarto de servicio con baño, 3 estacionamientos, área de lavado y tendido. Adicionalmente el condominio cuenta con Jardín para eventos con asador y hermosa fuente, Salón de usos múltiples y Estricta Vigilancia 24hrs. ",,,19.273471200000000,-99.146954100000020,298,267,,http://img10.naventcdn.com/avisos/18/00/01/04/83/72/1200x1200/79928236.jpg,,"MN 5,950,000",,,,,,,,Habitat Soluciones Inmobiliarias,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/local-ubicado-en-esquina-en-esperanza-sonora-51482741.html,inmuebles24,51482741,2017-07-20,Alquiler / Venta,Local Comercial,"Local Comercial
											",,"Local Ubicado en Esquina en Esperanza, Sonora, Sonora - Inmuebles24","Heroico Colegio Militar, Ampliacion Ronaldo Camacho, Empalme",,Empalme,Ampliacion Ronaldo Camacho,,,Sonora,"
										Ubicado en el centro de la Ciudad, ideal para cualquier giro comercial. ",,,27.581824822092575,-109.929144651429740,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/51/48/27/41/1200x1200/45527502.jpg,,"MN 4,500,000",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/excelente-local-en-mexicali-b.-c-51528821.html,inmuebles24,51528821,2017-07-20,Alquiler / Venta,Local Comercial,"Local Comercial
											",,"Excelente Local en Mexicali B. C, Baja California Norte - Inmuebles24","Av Sebastian Lerdo de Tejada, Centro , Mexicali",,Mexicali,Centro ,,,Baja California Norte,"
										Inmueble comercial ubicado en esquina, planta baja y mezzanine. ",,,32.660417009859690,-115.491037398547350,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/51/52/88/21/1200x1200/60872799.jpg,,"MN 8,000,000",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/isla-en-centro-comercial.-gran-ubicacion.-acabados-de-53220672.html,inmuebles24,53220672,2017-08-07,Venta,Local en centro comercial,"Local en centro comercial
											",,"Isla en Centro Comercial. Gran Ubicación. Acabados de Primera!, Distrito Federal - Inmuebles24",,,Cuajimalpa de Morelos,Santa Fe Cuajimalpa,,,Distrito Federal,"
										Increíble Isla en Centro Comercial en Santa Fe. Mide 2.86 M por lado. Altura de 2.8 M. Cuenta son todos los servicios. Las barras sientan a 16 personas. Ubicación premium ya que esta en la entrada al Teatro y con muy buena vista desde todos los ángulos.
									",,,,,12,24,,http://img10.naventcdn.com/avisos/18/00/53/22/06/72/1200x1200/80177795.jpg,,"MN 175,000",,,,,,,,Juan Jose,,,,,,,,,,,,,,,,,,
