listing_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/desde-$230-000-de-descuento-en-tu-casa.-arky-del-53135759.html,inmuebles24,53135759,2017-09-15,Venta,Desarrollo Horizontal/Vertical,"Desarrollo Horizontal/Vertical
											",,"Desde $230,000 de Descuento en Tu Casa. Arky del Valle., Distrito Federal - Inmuebles24","Cerrada Juan Sánchez Azcona 1711 , Del Valle Centro, Benito Juárez",,Benito Juárez,Del Valle Centro,,,Distrito Federal,"
										6 hermosas casas en Preventa en la Colonia Del Valle. ",,,19.370086200000000,-99.165930600000020,185,m²,,,,"MN 7,803,000",,,,,,, 25HTLT,CLASS BIENES RAICES,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/nave-industrial-o-bodega-galpon-o-bodegas-comerciales-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/nave-industrial-en-periferico-y-tlahuac-50412682.html,inmuebles24,50412682,2017-09-18,Venta,Nave industrial,"Nave industrial
											",,"Nave Industrial en Periférico y Tláhuac, Distrito Federal - Inmuebles24","Cataroja, Cerro de La Estrella, Iztapalapa",,Iztapalapa,Cerro de La Estrella,,,Distrito Federal,"
										Nave industrial tipo semipesado en general. EXCELENTE UBICACIÓN Sobre Periférico Oriente y a 2 cuadras de Av. Tláhuac, En zona industrial de Iztapalapa. Cuenta con entrada para trailer, patio de maniobras lateral para dos camiones, Cuarto de control de báscula, Almacén, Bodega de transición, Caseta de vigilancia y control de acceso, Oficinas, Sala de juntas y Comedor. ",,,19.326441000000000,-99.076582400000000,"5,000","4,822",,,,"MN 39,950,000",,,,,,, 22742M,Habitat Soluciones Inmobiliarias,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/entrega-inmediata-oficinas-en-venta-desde-85.5-m2-50048137.html,inmuebles24,50048137,2017-08-10,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Entrega Inmediata / Oficinas en Venta Desde 85.5 m², Distrito Federal - Inmuebles24","Laguna de Términos 221, Granada, Miguel Hidalgo",,Miguel Hidalgo,Granada,,,Distrito Federal,"
										OFICINAS DESDE 85.5M2 ENTREGA INMEDIATA EXCELENTE OPORTUNIDAD ÚLTIMAS OFICINAS EN VENTA. ",,,19.443414200000000,-99.183828100000030,85,m²,,,,"MN 65,000",,,,,,, 21NJ17,YAMA Desarrolladora Inmobiliaria ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/lotes-en-lomas-de-angelopolis-52282119.html,inmuebles24,52282119,2017-08-09,Venta,Desarrollo Horizontal/Vertical,"Desarrollo Horizontal/Vertical
											",,"Lotes en Lomas de Angelópolis, Provincia de Puebla - Inmuebles24",,,Ocoyucan,Pueblo Santa Clara Ocoyucan,,,Puebla,"
										Contamos con lotes en una comunidad planeada única en la ciudad de Puebla. Tu familia contará con áreas verdes, zonas comerciales, canchas deportivas, juegos infantiles, lagos, ciclopistas, excelente ubicación y muchas cosas más. ",,,,,128,m²,,,,"MN 5,000",,,,,,, 24GB79,Grupo Proyecta,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/amplio-balcon-terraza-en-nuevo-polanco-53196603.html,inmuebles24,53196603,2017-09-25,Venta,Departamento,"Departamento
											",,"Amplio Balcón - Terraza en Nuevo Polanco, Distrito Federal - Inmuebles24","Lago Zurich 168, Ampliación Granada, Miguel Hidalgo",,Miguel Hidalgo,Ampliación Granada,,,Distrito Federal,"
										Departamento de 3 recamaras con dos baños completos. Amplio balcón-terraza con salida directa a recámara principal y sala, donde cabe una mesa amplia y varias sillas para que puedas disfrutar de un buen vino con tu familia o amigos. Dos cajones de estacionamientos cómodos. ",,,19.444974300000000,-99.202705299999990,115,115,,,,"MN 6,890,000",,,,,,, VENTANA01,FINDERS,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/amplio-departamento-en-comunal-col-acacias-cerca-de-av-52818839.html,inmuebles24,52818839,2017-09-22,Venta,Departamento,"Departamento
											",,"Amplio Departamento en Comunal Col Acacias Cerca de Av Coyoacan, Distrito Federal - Inmuebles24","CALLE COMUNAL , Acacias, Benito Juárez",,Benito Juárez,Acacias,,,Distrito Federal,"
										- Departamento en dos niveles (más un tercer nivel de servicio) ",,,19.363912800000000,-99.174722400000010,220,220,,,,"MN 8,800,000",,,,,,, 2567HT,Coldwell Banker Invest (Asociada con ID 15246)7,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-venta-en-dallas-colonia-napoles-53276714.html,inmuebles24,53276714,2017-08-18,Venta,Departamento,"Departamento
											",,"Departamento en Venta en Dallas, Colonia Napoles, Benito Juarez, Cdmx. Distrito Federal - Inmuebles24","Dallas , Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										Moderno departamento ubicado a unos pasos del WTC. Con 125 m2 habitables distribuidos en 3 niveles cuenta con: 2 recámaras con baño completo y la principal con vestidor y la secundaria con balcón, sala con balcón, comedor y cocina integral muy amplios con acceso a la terraza de 16 m2, área de lavado y baño de visitas. También cuenta con 2 lugares de estacionamiento con eleva-autos. El edificio sólo cuenta con 6 departamentos y tiene una cisterna de 23 mil litros.
									",,,19.397579900000000,-99.176011000000020,149,125,,,,"MN 6,300,000",,,,,,, DV624,Coldwell Banker Vive,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/en-venta-depto-cuajimalpa-de-3-rec-$5-950-000.00-53006233.html,inmuebles24,53006233,2017-09-26,Venta,Departamento,"Departamento
											",,"En Venta Depto Cuajimalpa de 3 Rec $5,950,000oportunidad, Distrito Federal - Inmuebles24","CARRETERA FEDERAL MEXICO- TOLUCA 5454, Santa Fe Cuajimalpa, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Santa Fe Cuajimalpa,,,Distrito Federal,"
										Vendo iluminadisimo departamento de 3 recamaras, 2.5 baños, sala comedor amplios, family room, cocina integral con cubierta de granito, area de lavado, dos lugares de estacionamiento y bodega. ",,,19.362645400000000,-99.282707599999980,144,144,,,,"MN 5,950,000",,,,,,, 25D5OD,UBIHABIT,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/departamentos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/alabama-35-53309784.html,inmuebles24,53309784,2017-08-25,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Alabama 35, Distrito Federal - Inmuebles24","ALABAMA 35, Napoles, Benito Juárez",,Benito Juárez,Napoles,,,Distrito Federal,"
										12 exclusivos departamentos de lujo ubicados en una de las colonias más céntricas y con más plusvalía dentro de la Ciudad de México. ",,,19.391084800000000,-99.174830800000000,101,m²,,,,"MN 4,726,473",,,,,,, 25OD2O,NÚCLEO URBANO,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/otros-tipos-de-propiedades-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/col.-doctores.-inmueble-restaurante-amueblado-y-53017315.html,inmuebles24,53017315,2017-09-22,Venta,Local Comercial,"Local Comercial
											",,"Col. Doctores. Inmueble, Restaurante Amueblado y Licencias, Distrito Federal - Inmuebles24","Colonia Doctores, Doctores, Cuauhtémoc",,Cuauhtémoc,Doctores,,,Distrito Federal,"
										",,,19.417747090000000,-99.149465560000000,158,158,,,,"MN 5,486,000",,,,,,, 916,IRG Real Estate,,,,,,,,,,,,,,,,,,
